sample_id,label,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_mean,rms_std,chroma_mean,chroma_std,tempo,pitch_mean,pitch_std,pitch_min,pitch_max
0,0,-267.8121643066406,62.77899932861328,127.3464584350586,53.241241455078125,-11.744312286376953,29.159189224243164,43.8852653503418,36.661109924316406,-1.4418599605560303,29.168012619018555,22.656476974487305,15.972811698913574,-11.754817962646484,15.234007835388184,0.6896393895149231,14.384397506713867,-2.9213597774505615,14.492585182189941,-4.022756576538086,14.604474067687988,-1.5513899326324463,11.661600112915039,-5.546843528747559,9.840452194213867,-7.580453872680664,10.24158763885498,2788.164090337543,1990.0984156425557,4930.3889181761615,3215.3815193479227,2836.367074589522,761.3987459099836,0.00020912036416120827,0.0006845147581771016,0.07288677924502213,0.09149285505166797,0.09327875822782516,0.0628543272614479,0.3475057780742645,0.3268044888973236,178.20581896551724,216.3044672330321,27.4305420220387,160.8177696995849,284.8943137887522
1,0,-248.04420471191406,74.59597778320312,127.13847351074219,56.45643615722656,-11.115645408630371,35.556236267089844,46.78709411621094,38.30099105834961,-1.0193114280700684,30.89387321472168,21.186574935913086,16.019195556640625,-14.21410846710205,20.06350326538086,1.795587420463562,13.389410018920898,-6.505549430847168,12.32277774810791,-6.889110088348389,13.80832576751709,-5.787270545959473,9.655850410461426,-7.2416911125183105,11.50212574005127,-7.052738666534424,8.048893928527832,2816.4712485461705,1944.1732646159705,4969.001953125,3183.153164566676,2816.3584982358675,764.8978844684284,0.009652298875153065,0.09467587620019913,0.0748046875,0.08549328523335657,0.10577310621738434,0.060142360627651215,0.389678031206131,0.3198871910572052,105.46875,179.31512202576263,18.411641225789097,150.04828475508103,256.76113209730795
2,0,-249.07774353027344,72.9426040649414,120.90682220458984,55.42094039916992,-10.621959686279297,30.862340927124023,31.890499114990234,33.67649841308594,-4.354732036590576,31.045394897460938,16.569740295410156,20.994556427001953,-17.0826416015625,17.31305503845215,-2.921248197555542,13.803000450134277,-12.366665840148926,13.078290939331055,-5.337736129760742,15.158120155334473,-7.072022914886475,10.994091987609863,-9.419855117797852,12.337227821350098,-8.549060821533203,8.032388687133789,3079.7323102881087,2392.699366892823,5397.2822598321645,3623.2197480366926,2917.3952352864153,811.6696248980446,0.00021411200577858835,0.0006745127611793578,0.08607351421593186,0.11619445831039255,0.09993606805801392,0.06813798099756241,0.36541515588760376,0.32399454712867737,105.46875,241.86128624603398,65.05270533442273,160.8177696995849,460.1465761680426
3,0,-284.1205749511719,67.43700408935547,123.22854614257812,47.749481201171875,5.66751766204834,38.0797119140625,37.64763259887695,26.762022018432617,6.345564365386963,24.03607177734375,13.964432716369629,25.82063102722168,-12.45007610321045,15.425082206726074,-6.1536784172058105,15.703572273254395,-5.690495014190674,12.268241882324219,-7.2195234298706055,10.469144821166992,-4.209413528442383,9.787298202514648,-7.392419815063477,11.58901596069336,-9.492354393005371,10.056154251098633,2612.988287958141,2105.6576393857877,4568.996878650701,3612.9493574153234,2735.7429577702746,887.901218944575,0.00044107719440944493,0.0024522317107766867,0.06974512022975078,0.08969693890258637,0.09234552085399628,0.08273764699697495,0.3758460581302643,0.3242102563381195,135.99917763157896,226.3985380310384,43.6696777205206,169.39917249070098,331.06018008760145
4,0,-221.9287872314453,78.55776977539062,132.2606964111328,57.84215545654297,-4.651712894439697,30.44395637512207,49.70184326171875,36.01893615722656,-2.0807316303253174,32.55842971801758,24.165695190429688,18.11785888671875,-11.27702808380127,14.907148361206055,-3.223543405532837,12.496221542358398,-7.7818732261657715,11.534668922424316,-5.933142185211182,14.32642650604248,-7.926070690155029,8.942723274230957,-7.549645900726318,8.542619705200195,-4.565925598144531,6.574314117431641,2722.081141646228,2252.184316804109,4716.164016723633,3283.5926347386344,2698.529171105841,720.743899823949,0.00020216657139826566,0.0010495333699509501,0.07617823282877605,0.1075815428364721,0.16156132519245148,0.09346181154251099,0.37326347827911377,0.3234655559062958,103.359375,201.9890851516378,24.523359013867893,151.79176184219858,276.78392569881095
5,0,-275.4055480957031,67.79078674316406,133.96926879882812,56.71089172363281,4.874757289886475,36.49597930908203,41.85981750488281,32.554195404052734,3.114144802093506,29.03761100769043,18.873794555664062,18.888839721679688,-8.775635719299316,17.167415618896484,1.9612089395523071,13.401473045349121,-5.074193477630615,11.403091430664062,-3.218531608581543,11.92702865600586,-2.301990032196045,10.012197494506836,-3.193559169769287,9.605215072631836,-4.04770040512085,8.540799140930176,2644.3512066167973,2232.853452892005,4498.640610603501,3542.137844862617,2720.2672025612683,832.834400758164,0.00016157387290149927,0.0004029048141092062,0.07372686962530713,0.10070616254366746,0.08245940506458282,0.051617808640003204,0.39826908707618713,0.3186813294887543,151.99908088235293,197.4985142148408,36.009829025472115,91.30464488358949,323.4987551242365
6,0,-244.82199096679688,64.57475280761719,162.32437133789062,54.2644157409668,-8.228522300720215,29.416954040527344,21.330163955688477,37.472923278808594,-7.736310005187988,22.102190017700195,19.83554458618164,16.640419006347656,-14.285000801086426,16.028003692626953,-0.6712930798530579,11.32514476776123,-11.220562934875488,11.559062004089355,-5.941709995269775,12.162989616394043,-2.1859090328216553,9.802849769592285,0.11435272544622421,10.715343475341797,-1.902704119682312,8.026273727416992,2319.84270818234,1685.7546336892767,4065.988912633215,3102.5334341503144,2633.566424892395,849.851433509273,0.0001091148005798459,0.00033667433308437467,0.057832274089698044,0.06925258151908383,0.09927728772163391,0.06451161205768585,0.4177604913711548,0.3015379011631012,89.10290948275862,161.3573273373728,15.795263771705292,136.0144717615048,219.6835474110902
7,0,-253.91529846191406,61.67930603027344,153.91134643554688,52.50263977050781,-18.711015701293945,27.81710433959961,14.087912559509277,26.573909759521484,-5.648540496826172,29.081979751586914,17.80888557434082,15.844985961914062,-18.325115203857422,16.503265380859375,-1.6319267749786377,11.692317008972168,-4.1868181228637695,10.812426567077637,-6.479796886444092,14.612325668334961,1.6520915031433105,8.299107551574707,-3.5800371170043945,11.183777809143066,-6.701613426208496,7.26434850692749,2636.8233678115653,2000.6975533365905,4516.455885201446,3253.3523062257004,2649.611418639357,842.3570236866119,0.00021388009190559387,0.0006769396713934839,0.07938807463842976,0.096888520626131,0.08895841240882874,0.07320665568113327,0.41492709517478943,0.3090319335460663,105.46875,181.21486370720936,29.503516940243696,135.23108604947836,246.58644460692156
8,0,-249.08145141601562,62.082908630371094,160.17356872558594,45.73286056518555,-20.29771614074707,26.534372329711914,19.12134552001953,24.293960571289062,-9.21494197845459,21.17746925354004,19.419076919555664,13.11284351348877,-12.386232376098633,15.997832298278809,7.898333549499512,11.56251049041748,-8.204214096069336,10.650303840637207,1.1755287647247314,13.907825469970703,3.1567418575286865,8.920173645019531,-0.8512322306632996,10.644131660461426,-7.646407604217529,5.913701057434082,2473.7510901942364,1611.2567363177723,4555.510432545731,3104.317248693743,2806.4025237364117,861.7319686652461,0.0004088444111403078,0.0028134630993008614,0.06274499128919861,0.06630514257647727,0.08314978331327438,0.06841594725847244,0.4392145574092865,0.30217570066452026,117.45383522727273,170.25383855590997,12.69075126423656,137.59488379633515,193.46780319548864
9,0,-251.7207794189453,59.521820068359375,152.91824340820312,52.43141174316406,-16.649200439453125,28.241350173950195,32.986846923828125,32.25774383544922,-3.7784600257873535,23.81809425354004,25.469554901123047,15.718690872192383,-19.08155632019043,18.144638061523438,-0.7172660231590271,10.213802337646484,-13.666266441345215,12.896332740783691,-1.0849475860595703,12.427416801452637,-0.30063626170158386,10.022932052612305,-6.015523433685303,12.190831184387207,-7.67461633682251,6.955319881439209,2541.432441592824,1860.2452810222478,4533.440764429886,3228.0567257164507,2742.4831082771107,838.0236868764418,0.00027396040968596935,0.0017941816477105021,0.06695677673512748,0.08348558643705607,0.09843312948942184,0.06529347598552704,0.4071912467479706,0.31298112869262695,126.04801829268293,183.9986753055725,29.48309689291256,144.93708933779286,283.2534432845383
